id,name,res_id,lang,type,src,value,module,state,comments,lp_key,lp_isusedbyexternalapps
2235261,other,,en_US,,First Name *,First Name *,,translated,,en_US_customer_details_first_name_text_field,t
2235262,other,,en_US,,Middle Name,Middle Name,,translated,,en_US_customer_details_middle_name_text_field,t
2235263,other,,en_US,,Last Name *,Last Name *,,translated,,en_US_customer_details_last_name_text_field,t
2235264,other,,en_US,,Gender *,Gender *,,translated,,en_US_customer_details_gender_picker,t
2235265,other,,en_US,,Nationality *,Nationality *,,translated,,en_US_customer_details_text_field,t
2235266,other,,en_US,,Date Of Birth *,Date Of Birth *,,translated,,en_US_customer_details_date_of_birth_picker,t
2235267,other,,en_US,,Email Address *,Email Address *,,translated,,en_US_customer_details_email_address_text_field,t
2235268,other,,en_US,,Mobile Number *,Mobile Number *,,translated,,en_US_customer_details_mobile_number_text_field,t
2235269,other,,en_US,,Verify Number,Verify Number,,translated,,en_US_customer_details_verify_number_button,t
2235270,other,,en_US,,Alternative Mobile Number *,Alternative Mobile Number *,,translated,,en_US_customer_details_alternative_mobile_number_text_field,t
2235271,other,,en_US,,Upload ID Document *,Upload ID Document *,,translated,,en_US_customer_details_upload_id_document_label,t
2235272,other,,en_US,,Front Side,Front Side,,translated,,en_US_customer_details_front_side_label,t
2235273,other,,en_US,,Back Side,Back Side,,translated,,en_US_customer_details_back_side_label,t
2235274,other,,en_US,,Privacy Policy,Privacy Policy,,translated,,en_US_customer_details_privacy_policy_label,t
2235275,other,,en_US,,Next,Next,,translated,,en_US_customer_details_next_button,t
2235276,other,,en_US,,Select Plan,Select Plan,,translated,,en_US_select_plan_title_label,t
2235277,other,,en_US,,"Select The Fibrenet Home Plan
 You Want To Install","Select The Fibrenet Home Plan
 You Want To Install",,translated,,en_US_select_plan_select_fibrenet_home_plane,t
2235278,other,,en_US,,Service order location,Service order location,,translated,,en_US_map_service_order_location_label,t
2235279,other,,en_US,,"Select your location. if service
 is not available, drop a pin to
 pre-order","Select your location. if service
 is not available, drop a pin to
 pre-order",,translated,,en_US_map_select_your_location_label,t
2235280,other,,en_US,,Search For Location,Search For Location,,translated,,en_US_map_search_for_loacation_text_field,t
2235281,other,,en_US,,Full Address,Full Address,,translated,,en_US_full_address_title_label,t
2235282,other,,en_US,,Please Type The Exact Address,Please Type The Exact Address,,translated,,en_US_full_address_please_type_the_exact_address_label,t
2235283,other,,en_US,,Governorate *,Governorate *,,translated,,en_US_full_address_governorate_picker,t
2235284,other,,en_US,,Wilayat *,Wilayat *,,translated,,en_US_full_address_wilayat_picker,t
2235285,other,,en_US,,Area *,Area *,,translated,,en_US_full_address_area_text_field,t
2235286,other,,en_US,,Street Name/Way Number,Street Name/Way Number,,translated,,en_US_full_address_street_name_way_number_text_field,t
2235287,other,,en_US,,House Number,House Number,,translated,,en_US_full_address_house_number_text_field,t
2235288,other,,en_US,,P.O.Box,P.O.Box,,translated,,en_US_full_address_box_text_field,t
2235289,other,,en_US,,Postal Code,Postal Code,,translated,,en_US_full_address_postal_code_text_field,t
2235290,other,,en_US,,Next,Next,,translated,,en_US_full_address_next_button,t
2235291,other,,en_US,,Summary,Summary,,translated,,en_US_summary_title_label,t
2235292,other,,en_US,,Service Plan,Service Plan,,translated,,en_US_summary_service_plan_label,t
2235293,other,,en_US,,"Monthly Subscription
 Total","Monthly Subscription
 Total",,translated,,en_US_summary_monthly_subscription_total_label,t
2235294,other,,en_US,,Fibrenet Basic:,Fibrenet Basic:,,translated,,en_US_summary_fibrenet_basic_label,t
2235295,other,,en_US,,VAT,VAT,,translated,,en_US_summary_vat_label,t
2235296,other,,en_US,,Add-ons,Add-ons,,translated,,en_US_summary_add_ons_label,t
2235297,other,,en_US,,JAWWY TV DEVICE,JAWWY TV DEVICE,,translated,,en_US_summary_jawwy_tv_device_label,t
2235298,other,,en_US,,One Time Charges,One Time Charges,,translated,,en_US_summary_one_time_charges_label,t
2235299,other,,en_US,,Delivery,Delivery,,translated,,en_US_summary_delivery_label,t
2236287,other,,en_US,,Re-print  Voucher,Re-print  Voucher,,translated,,en_US_reprint_voucher_widget_label,t
2236288,other,,en_US,,General Request,General Request,,translated,,en_US_general_request_label,t
2236289,other,,en_US,,Select Process,Select Process,,translated,,en_US_select_process_label,t
2236290,other,,en_US,,Process,Process,,translated,,en_US_process_label,t
2236291,other,,en_US,,Please select process,Please select process,,translated,,en_US_select_process_error_label,t
2236292,other,,en_US,,Write a description,Write a description,,translated,,en_US_write_a_description_label,t
2236293,other,,en_US,,Please enter a valid ICCID,Please enter a valid ICCID,,translated,,en_US_enter_iccid_error_label,t
2236294,other,,en_US,,Please enter description,Please enter description,,translated,,en_US_enter_description_error_label,t
2236295,other,,en_US,,Powered By,Powered By,,translated,,en_US_powered_by_label,t
2236296,other,,en_US,,Pre to Post,Pre to Post,,translated,,en_US_pre_to_post_activation_label,t
